nest_id,species,year,zone
PEFA302,peregrine falcon,2014,study area
PEFA303,peregrine falcon,2014,study area
PEFA303,peregrine falcon,2015,study area
PEFA402,peregrine falcon,2012,study area
PEFA402,peregrine falcon,2014,study area
PEFA402,peregrine falcon,2015,study area
PEFA403,peregrine falcon,2014,study area
PEFA404,peregrine falcon,2015,study area
PEFAAB01,peregrine falcon,2016,study area
PEFAAB02,peregrine falcon,2016,study area
PEFAAB03,peregrine falcon,2016,study area
PEFAAB04,peregrine falcon,2016,study area
PEFAABKB01,peregrine falcon,2019,study area
PEFAED01,peregrine falcon,2019,study area
PEFAED02,peregrine falcon,2019,study area
PEFAJB01,peregrine falcon,2013,study area
PEFAJB01,peregrine falcon,2016,study area
RLHA_AB02,rough legged hawk,2017,study area
RLHA_AB03,rough legged hawk,2017,study area
RLHA_AB04,rough legged hawk,2017,study area
RLHA_AB05,rough legged hawk,2017,study area
RLHA_ED01,rough legged hawk,2017,study area
RLHA01,rough legged hawk,2007,study area
RLHA01,rough legged hawk,2008,study area
RLHA01,rough legged hawk,2009,study area
RLHA01,rough legged hawk,2010,study area
RLHA01,rough legged hawk,2011,study area
RLHA01,rough legged hawk,2018,study area
RLHA01-YS,rough legged hawk,2016,study area
RLHA01-YS,rough legged hawk,2017,study area
RLHA02,rough legged hawk,2007,study area
RLHA02,rough legged hawk,2008,study area
RLHA02,rough legged hawk,2009,study area
RLHA02,rough legged hawk,2010,study area
RLHA02,rough legged hawk,2011,study area
RLHA02-JV,rough legged hawk,2017,study area
RLHA02-NC,rough legged hawk,2016,study area
RLHA03,rough legged hawk,2007,study area
RLHA03,rough legged hawk,2009,study area
RLHA03,rough legged hawk,2010,study area
RLHA03,rough legged hawk,2011,study area
RLHA03-NC,rough legged hawk,2016,study area
RLHA04,rough legged hawk,2007,study area
RLHA04,rough legged hawk,2008,study area
RLHA04,rough legged hawk,2009,study area
RLHA04,rough legged hawk,2010,study area
RLHA04,rough legged hawk,2011,study area
RLHA04-KC,rough legged hawk,2016,study area
RLHA05,rough legged hawk,2007,study area
RLHA05,rough legged hawk,2008,study area
RLHA05,rough legged hawk,2010,study area
RLHA05,rough legged hawk,2011,study area
RLHA05-KC,rough legged hawk,2016,study area
RLHA06,rough legged hawk,2007,study area
RLHA06,rough legged hawk,2008,study area
RLHA06,rough legged hawk,2010,study area
RLHA06,rough legged hawk,2011,study area
RLHA06-YS,rough legged hawk,2016,study area
RLHA07,rough legged hawk,2007,study area
RLHA07,rough legged hawk,2010,study area
RLHA07,rough legged hawk,2011,study area
RLHA07-KC,rough legged hawk,2016,study area
RLHA08,rough legged hawk,2007,study area
RLHA08,rough legged hawk,2008,study area
RLHA08,rough legged hawk,2010,study area
RLHA08,rough legged hawk,2011,study area
RLHA08-NC,rough legged hawk,2016,study area
RLHA09,rough legged hawk,2007,study area
RLHA09,rough legged hawk,2010,study area
RLHA09-NC,rough legged hawk,2016,study area
RLHA10,rough legged hawk,2008,study area
RLHA10,rough legged hawk,2010,study area
RLHA10,rough legged hawk,2011,study area
RLHA10-KC,rough legged hawk,2016,study area
RLHA106,rough legged hawk,2014,study area
RLHA11,rough legged hawk,2008,study area
RLHA11,rough legged hawk,2010,study area
RLHA11,rough legged hawk,2011,study area
RLHA114,rough legged hawk,2014,study area
RLHA115,rough legged hawk,2014,study area
RLHA117,rough legged hawk,2015,study area
RLHA118,rough legged hawk,2014,study area
RLHA118,rough legged hawk,2015,study area
RLHA12,rough legged hawk,2010,study area
RLHA12,rough legged hawk,2011,study area
RLHA122,rough legged hawk,2014,study area
RLHA125,rough legged hawk,2014,study area
RLHA125,rough legged hawk,2015,study area
RLHA128,rough legged hawk,2015,study area
RLHA13,rough legged hawk,2010,study area
RLHA13,rough legged hawk,2011,study area
RLHA130,rough legged hawk,2014,study area
RLHA131,rough legged hawk,2015,study area
RLHA135,rough legged hawk,2014,study area
RLHA136,rough legged hawk,2014,study area
RLHA137,rough legged hawk,2014,study area
RLHA138,rough legged hawk,2014,study area
RLHA139,rough legged hawk,2014,study area
RLHA14,rough legged hawk,2010,study area
RLHA140,rough legged hawk,2014,study area
RLHA141,rough legged hawk,2014,study area
RLHA142,rough legged hawk,2014,study area
RLHA142,rough legged hawk,2015,study area
RLHA143,rough legged hawk,2014,study area
RLHA144,rough legged hawk,2014,study area
RLHA146,rough legged hawk,2015,study area
RLHA147,rough legged hawk,2015,study area
RLHA149,rough legged hawk,2015,study area
RLHA15,rough legged hawk,2010,study area
RLHA150,rough legged hawk,2015,study area
RLHA151,rough legged hawk,2015,study area
RLHA152,rough legged hawk,2015,study area
RLHA16,rough legged hawk,2010,study area
RLHA17,rough legged hawk,2010,study area
RLHA18,rough legged hawk,2010,study area
RLHA19,rough legged hawk,2010,study area
RLHA20,rough legged hawk,2010,study area
RLHA205,rough legged hawk,2014,study area
RLHA21,rough legged hawk,2010,study area
RLHA30,rough legged hawk,2011,study area
RLHA303,rough legged hawk,2014,study area
RLHA303,rough legged hawk,2015,study area
RLHA304,rough legged hawk,2014,study area
RLHA307,rough legged hawk,2014,study area
RLHA307,rough legged hawk,2015,study area
RLHA309,rough legged hawk,2014,study area
RLHA311,rough legged hawk,2014,study area
RLHA312,rough legged hawk,2015,study area
RLHA313,rough legged hawk,2015,study area
RLHA317,rough legged hawk,2014,study area
RLHA318,rough legged hawk,2014,study area
RLHA321,rough legged hawk,2015,study area
RLHA401,rough legged hawk,2014,study area
RLHA401,rough legged hawk,2015,study area
