"","Year","Habitat","plot_number","R_plot_ID","nb_nest","area_km2"
"435",2011,"Mesic",9,"PM9",2,0.04
"436",2011,"Mesic",10,"PM10",7,0.04
"437",2011,"Mesic",11,"PM11",11,0.04
"438",2011,"Mesic",12,"PM12",0,0.04
"439",2011,"Mesic",13,"PM13",2,0.04
"440",2011,"Mesic",14,"PM14",31,0.04
"441",2012,"Wetland",1,"PH1",2,0.01
"442",2012,"Wetland",2,"PH2",8,0.01
"443",2012,"Wetland",3,"PH3",10,0.01
"444",2012,"Wetland",4,"PH4",10,0.01
"445",2012,"Wetland",5,"PH5",10,0.01
"446",2012,"Wetland",6,"PH6",2,0.01
"447",2012,"Wetland",7,"PH7",2,0.01
"448",2012,"Wetland",8,"PH8",2,0.01
"449",2012,"Wetland",9,"PH9",0,0.01
"450",2012,"Wetland",10,"PH10",0,0.01
"451",2012,"Wetland",11,"PH11",16,0.01
"452",2012,"Mesic",1,"PM1",5,0.04
"453",2012,"Mesic",2,"PM2",0,0.04
"454",2012,"Mesic",3,"PM3",0,0.04
"455",2012,"Mesic",4,"PM4",3,0.04
"456",2012,"Mesic",5,"PM5",0,0.04
"457",2012,"Mesic",6,"PM6",2,0.04
"458",2012,"Mesic",7,"PM7",5,0.04
"459",2012,"Mesic",8,"PM8",1,0.04
"460",2012,"Mesic",9,"PM9",0,0.04
"461",2012,"Mesic",10,"PM10",0,0.04
"462",2012,"Mesic",11,"PM11",3,0.04
"463",2012,"Mesic",12,"PM12",18,0.04
"464",2012,"Mesic",13,"PM13",3,0.04
"465",2012,"Mesic",14,"PM14",0,0.04
"466",2012,"Mesic",15,"PM15",3,0.04
"467",2012,"Mesic",16,"PM16",8,0.04
"468",2012,"Mesic",17,"PM17",0,0.04
"469",2012,"Mesic",18,"PM18",0,0.04
"470",2012,"Mesic",19,"PM19",0,0.04
"471",2012,"Mesic",20,"PM20",0,0.04
"472",2012,"Mesic",21,"PM21",0,0.04
"473",2012,"Mesic",22,"PM22",0,0.04
"474",2012,"Mesic",23,"PM23",8,0.04
"475",2012,"Mesic",24,"PM24",0,0.04
"476",2012,"Mesic",25,"PM25",0,0.04
"477",2012,"Mesic",26,"PM26",0,0.04
"478",2012,"Mesic",27,"PM27",0,0.04
"479",2012,"Mesic",28,"PM28",0,0.04
"480",2012,"Mesic",29,"PM29",0,0.04
"481",2012,"Mesic",30,"PM30",7,0.04
"482",2013,"Wetland",1,"PH1",6,0.01
